id,ItemID,IsSell,Count
1,13101,1,1
2,14101,1,1
3,11101,1,1
4,12101,1,1
5,15101,1,1
6,16101,1,1
7,21101,1,1
8,21102,1,1
9,22101,1,1
10,22102,1,1
11,23101,1,1
12,23102,1,1
13,31101,1,1
14,31102,1,1
15,32101,1,1
16,32102,1,1
17,33101,1,1
18,33102,1,1
19,41101,1,1
20,41102,1,1
21,42101,1,1
22,42102,1,1
23,43101,1,1
24,43102,1,1
25,51101,1,1
26,51102,1,1
27,52101,1,1
28,52102,1,1
29,53101,1,1
30,53102,1,1
31,61101,1,1
32,61102,1,1
33,62101,1,1
34,62102,1,1
35,63101,1,1
36,63102,1,1
37,71101,1,1
38,71102,1,1
39,72101,1,1
40,72102,1,1
41,73101,1,1
42,73102,1,1
